code;product_name;brands;nutriscore_grade;nova_group;additives_found;additives_names;additives_risk_levels;ingredients_text
2302837003451;Chuleta ajillo;Pavo;b;4;E250;Nitrito sódico;alto;Muslo de pavo 90%, agua, vino, sal, dextrosa de maíz, aromas, conservadores (E326, E261, E250), estabilizantes (E451, E407), dextrina de maíz, antioxidantes (E331, E300), recubrimiento &lt,2% (ajo-perejil).
2303443002647;Pavo a tacos al ajillo;Elaborados pavo;a;4;E250;Nitrito sódico;alto;Muslo de pavo 90%, agua, vino, sal, dextrosa de maíz, aromas, conservadores (E326, E261, E250), estabilizantes (E451, E407), dextrina de maíz, antioxidantes (E331, E300), recubrimiento &lt,2% (ajo-perejil).
2303443003118;Pavo a tacos ajillo;Procavi;a;4;E250;Nitrito sódico;alto;muslo de pavo 90%, agua, vino, sal, dextrosa de maíz, aromas, conservadores (E326, E261, E250), estabilizantes (E451, E407), dextrina de maíz, antioxidantes (E331, E300).
2304156004256;Brochetas de pavo;Pavo;a;4;E250;Nitrito sódico;alto;Carne de pavo 80% (pierna de pavo 95%, agua, sal, dextrosa de maíz, aromas, conservadores (E326, E261, E250), estabilizantes (E451, E407), dextrina de maíz, antioxidantes (E300, E331)), pimiento verde 12%, pimiento rojo 8%.
2305046006428;Lomo adobado de cerdo familiar;Mercadona;c;4;E250|E252;Nitrito sódico|Nitrato potásico;alto|alto;lomo de cerdo 90%, agua, sal, azúcar, especias, pimentón, antioxidante E301, antioxidante E331, estabilizante E451, estabilizante E452, conservador E250, conservador E252.
2321909007425;Pollo deshuesado a mano asado;Hacendado;d;4;E250;Nitrito sódico;alto;pollo entero deshuesado 45%, agua, sal, almidón de patata, estabilizante E450, estabilizante E451, dextrosa, proteínas de la _leche_, potenciador del sabor E621, antioxidante E331, antioxidante E301), aromas, aroma de humo. Relleno (carne de cerdo, agua, _huevo_ 11%, jamón 6% (jamón de cerdo, sal), 
2350303003818;Old Amsterdam;Westland;e;4;E251;Nitrato sódico;alto;leche pasteurizada de vaca, sal, fermentos lácticos (leche), cuajo, conservador (E251), colorante (carotenos) Naturalmente sin lactosa.
2350416003378;Queso semicurado gouda;;d;4;E251;Nitrato sódico;alto;leche de vaca pasteurizada, sal, fermentos lacticos, cuajo, conservador E251, colorante E 160a
2354052003945;Cabecero de lomo;Hacendado;e;4;E250|E252;Nitrito sódico|Nitrato potásico;alto|alto;Cabecero de lomo de cordo, sal, pimentones, dextrosa, antioxidantes E331, E301, aromas, ajo, especias y conservadores E250, E252 tratamiento de superfivie: conservadores E202, E235
2358307000819;Hueso garrón;Incarlopsa;e;3;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Jamón, paleta de cerdo, sal, azúcar, antioxidantes (E331, E301), conservadores (E252, E250).
236847880000100450001801;Queque yogur limón;;unknown;4;E102|E110;Tartrazina|Amarillo Ocaso FCF;alto|alto;Harina de TRIGO [antioxidantes (E300), agentes tratamiento de la harina (E920) y enzimas], azúcar, HUEVOS, agua, aceite de girasol, LECHE entera en polvo, YOGUR en polvo [Dextrosa, in polvo (12%), LECHE descremada en polvo, maltodextrinas, antioxidante (E330), aromas, LACTOSA, gasificantes (E500ii, 
2400032008001;Filete de lomo adobado familiar;dia;d;4;E250;Nitrito sódico;alto;Lomo de cerdo, agua, sal, antioxidante E325, extracto de especias, emulgentes E451i, E450ii, E452i, gelificante E407, corrector de acidez E331iii, antioxidante E301, proteina de cerdo, conservadores: E262, E250, dextrosa, azúcar, pimentón y especias.
24005760;Pechuga de Pavo Cocida Bajo Contenido el Sal;La Tabla de Aldi;a;4;E250;Nitrito sódico;alto;Pechuga de pavo (93%), sal, jarabe de glucosa, gelificante (E407), azúcar, estabilizante (E451), sal potásica, aroma, fibra vegetal, antioxidante (E301), conservador (E243,E250), extractos de especias.
2401050003894;Filete de pavo extratierno;Dia;a;4;E250;Nitrito sódico;alto;Pechuga de pavo, agua, sal, dextrosa de maíz, aromas, conservadores (E326, E261 y E250), estabilizantes (E451 y E407), dextrina de maíz, antioxidantes (E330 y E331).
24014649;Muslo de pavo;Delicato;b;4;E250;Nitrito sódico;alto;Muslo de pavo (90%). agua, sal, azúcar, jarabe de glucosa, aromas, estabilizante (E451), antioxidante (E301), conservador (E250). Ahumado con madera de haya.
24017824;Jamón cocido extra;Delicato;c;4;E250;Nitrito sódico;alto;Carne de cerdo (96%),  sal yodada (sal, yodato potásico),  dextrosa,  extracto de especias,  antioxidante (E301),  estabilizante (E451),  conservador (E250).
24075657;Pizza fresca jamon y queso;Mamma Mancini;d;4;E250;Nitrito sódico;alto;Harina de trigo y centeno, queso mozzarella (22%), jamón cocido extra (20%) (jamón de cerdo, agua, aromas, dextrosa, sal, estabilizantes (E451, E407, E262, E508, E412) antioxidante  (E316) y conservador E250)), agua, salsa de tomate (puré de tomate, agua, azúcar, almidón modificado de maíz,  sal, an
24080590;Pechuga de pavo cocida;Delicato;b;4;E250;Nitrito sódico;alto;Pechuga de pavo (90 % ) , agua, sal yodada, dextrosa, especias, extracto de especias, estabilizante (E451), antioxidante (E301), conservador (E250).
24080866;Llonganissa de Vic;;unknown;;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Paleta y magro de cerdo, dados de tocino de cerdo, sal, pimienta negra, azúcar, conservadores (nitrato potásico E252 y nitrito sódico E250).
2500214003234;Chuletas de pavo al ajillo;Dia;unknown;4;E250;Nitrito sódico;alto;Contramuslo de pavo (90%), agua, sal, dextrosa de maíz, aromas, conservadores (E326, E261, E250), estabilizantes (E451, E407), dextrina de maíz, antioxidantes (E300, E331). Recubrimiento (1%): ajo y perejil
2500256004954;Filete de lomo adobado familiar;dia;d;4;E250;Nitrito sódico;alto;lomo de cerdo, agua, sal, antioxidante E325, extracto de especias, emulgente E451i, emulgente E450iii, emulgente E452i, gelificante E407, corrector de acidez E331iii, antioxidante E301, proteína de cerdo, conservador E262, conservador E250, dextrosa, azúcar, pimentón, especias.
2509182004694;Pit de pollastre arrebossat amb pernil cuit i formatge;Bonpreu;c;4;E250;Nitrito sódico;alto;Pit de pollastre (53%), arrebossat (28%) (ou pasteuritzat, pa ratilat sense gluten (blat de moro, arròs, oli vegetal de gira-sol, dextrosa, emulgent (E471), glucosa caramel.litzada i colorant (E160c)) i sal), pernil cuit (12%) (pernil de porc, aigua, sal, maltodextrina, xarop de glucosa, conservador
2512206004327;Filete de pavo marinado ajillo;;a;4;E250;Nitrito sódico;alto;pechuga de pavo 87%, agua, vino, conservantes (E325, E262, E250), sal, antioxidantes (E331, E301), dextrosa, fibras vegetales, recubrimiento ajo y perejil 1%.
2583063003181;Chuleta de pavo marinada al ajillo;;d;4;E250;Nitrito sódico;alto;muslo de pavo 90%, agua, vino, conservantes (E325, E262, E250), sal, antioxidantes (E331, E301), dextrosa, fibras vegetales, recubrimiento ajo y perejil 1%.
2584150007846;Lomo embuchado;Monroyo;e;4;E250|E252;Nitrito sódico|Nitrato potásico;alto|alto;lomo de cerdo, sal, azúcar, pimentón, aromas, especias, estabilizantes (E452i, E415), artioxidantes (E301, E331iii), conservadores (E202, E235, E250, E252), corrector de acidez (E262).
2601085001913;Queso Gouda;;d;4;E251;Nitrato sódico;alto;LECHE pasteurizada de vaca, sal, fermentos LACTICOS, cuajo, conservador E251, colorante (E160b). Graso.
2604038001251;Mini hojaldres variados;Consum;e;4;E250;Nitrito sódico;alto;Paté porc, aigua, mido, sal, PROTEIN SDIA, LIET, estabilitzant (E450, E461, E412, E451 E407), pot. gust (E621), antioxidant (E316, E330 E301, E331, E304, E306, E300), conservador (E200 E250), sobrassada, carn porc, pebre vermell, PRO TEYNA SOIA, LLET, tomàquet, TOYINA, SERUM LACTI, maltodextrina, ge
2924546001988;Longaniza pascua;Carnicas Embuena;e;4;E250|E252;Nitrito sódico|Nitrato potásico;alto|alto;Carne y tocino de Cerdo, Sal, LECHE en polvo, dextrosa, azúcar, dextrina, especias, antioxidantes: E325, E300, conservantes: E250, E252 y colorante: E-120.
2927947001847;Cabeza de cerdo especial;Frial;unknown;4;E252;Nitrato potásico;alto;carne de cabeza de cerdo, sal, especias naturales, E450, E451,E452, azucar, dextrosa, E252, E262, E331, E301, E120
2928971003449;Chorizo oreado atado picante bandeja;;unknown;4;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Magro y panceta de cerdo, sal, especias: pimenton, ajo, pimienta, Dextrina, azucar, Conservadores: E2621, E252(0,25%), E250, Emulgentes: (P205 1,39%), E450iii, E452ii, E450i, E4521, Dextrosa, Antioxidantes: E316 (0,50%), E331iii, E325, Potenciador del sabor: E621 (0,80%), Aroma natural, Colorantes: 
2928971007836;Chorizo oreado atado vacío bolsa;jose titos;unknown;4;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Magro y panceta de cerdo, sal común, Especias: Pimentón. Ajo, pimienta, Dextrina, azúcar, Conservadores: E262i, E252(0,25%), E250, Emulgentes: (P205 1,39%) E450iii, E452ii, E450i, E452i, Cextrosa. Antioxidantes: E316 (0.50%, E331i. E325, Potenciador del sabor: E621 (0,80%), Aroma natural, Colorantes
2945252003790;Jamon cocido extra Bonnatur V.A;Argal;unknown;3;E250;Nitrito sódico;alto;jamon de cerdo 90%, agua sal dextrosa aromas, antioxidantas: E316 y E331 y conservador E250
2948473007141;Queso Flor de Escueva;;unknown;3;E252;Nitrato potásico;alto;Ingredientes Leche cruda de oveja (96.86%). fermentos Lácticos (0.04%), sal (7.4%), cuajo (0.2%) y cloruro cálcico (0.3%). Conservador: en trato potásico (E252) (0.2%).
2948473007707;Flor de esgueva viejo;;d;3;E252;Nitrato potásico;alto;Leche cruda de ove ja (96.86%). fermentos Lácticos,  sal (2,4%), cuajo (0.2%) y cloruro cálcico (0.3%). Conservador: nitrato potásico (E252)
2950260004745;Masdam Gallo 45%;Carrefour;unknown;3;E251;Nitrato sódico;alto;leche de vaca pasteurizada,sal, fermentos lacticos, E251
2950271025531;Jamon currado desh 1/2 piezas;Villar;unknown;3;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Jamon de cerdo, sal, azucar, E252, E250, E301
2957589003503;Bombas rellenas;carrefour;unknown;4;E171;Dióxido de titanio;alto;Masa: harina de trigo, agua. grasa de palma, azúcar, aceite girasol, levadura, dextrosa, almidón de trigo. gasificantes: E450, E500, sal, albúmina de huevo en polvo, estabilizantes: E412, E415, E466, emulgentes: E471, E481, E472e, suero de la leche en polvo, colorante E160a, lache desnatada en polvo
2969192001005;Salami extra;Tello;unknown;4;E250|E252;Nitrito sódico|Nitrato potásico;alto|alto;Carne y tocino de cerdo, sal, proteina de soja, lactosa, dextrosa, E451, E450, E316 E392, aromas, aroma de humo, E250, E252,E120
2969684000004;;;unknown;4;E250;Nitrito sódico;alto;Jamón de cerdo, agua, sal, dextrosa, estabilizantes: e451 y e407, azúcar, aromas, especias, antioxidante e3016, potenciador del sabor e621 y conservador e250.
2969897002000;Panceta curada con pimienta sin piel;Solariego;e;4;E252|E250;Nitrato potásico|Nitrito sódico;alto|alto;Panceta de cerdo (100 g pancet curada provienen de 145g de carne), sal, especias, dextrosa, E252 E250
2969980005734;Queso viejo 48% de M.G.;Old Amsterdam;unknown;4;E251;Nitrato sódico;alto;Leche pasteurizada de vaca, sal, fermentos lácticos (leche), cuajo, conservador E251 y colorante (carotenos). Naturalmente sin lactosa.
2973423005083;Huevas de merluza;Garre;e;4;E124|E110;Ponceau 4R|Amarillo Ocaso FCF;alto|alto;Huevas de merluza, E124 E110 y sal marina
2983565002505;Pan Montañés;Avia;d;4;E250;Nitrito sódico;alto;Carne, nigado (25%) y grasa de cerdo, HUEVO deshidratado, sal, proteina de cerdo, extractos de especias cebolla frita deshidratada (cebolla, aceite vegetal de maiz almidón de maíz sal) pimienta, almidón, ajo, antioxydante (E301), estabilizante (E407), conservador (E250).
3033610039150;Bloc de Foie Gras d'Oie avec Morceaux a la Truffe;Labeyrie;e;4;E250;Nitrito sódico;alto;Foie gras van gans, stukken van foie gras van gans (30%), water, zout, Sauternes, stukjes fruffel uber indicum) (2%), kruiden, suiker, truffelaroma (0,03%), antioxidant: E301, bewaarmiddel: E250.
3067162205305;Foie gras de pato entero mi-cuit;Delpeyrat;e;3;E250;Nitrito sódico;alto;Higado graso de pato (96%), vino de Oporto, sal, Armagnac, pimienta, azúcar, conservador (E250).
3113010130388;Foie Fin d ' Oie su Porto;Jean Larnaudie;e;4;E250;Nitrito sódico;alto;Grasa de oca magro, foie magro de oca, agua, Oporto (1,2%), sal, proteínas de leche, azúcar, pimienta, colorante (E120), antioxidante: ácido ascórbico (E300), conservante: nitrito de sodio (E250).
3113010146853;Foie fin de canard;Larnaudie;e;4;E250;Nitrito sódico;alto;Grasa de pato magro, higado magro de pato, agua, Armagnac (1,2%), sal, proteinas de leche, azucar, pimienta, colorante (E120), antioxidante: ácido ascórbico (E300), conservante: nitrito de sodio (E250).
3228024070022;4 quesos para fundir y gratinar;Président;d;4;E252;Nitrato potásico;alto;Emmental francés queso de pasta prensada cocida (leche) (25%), Mozzarella francesa de leche pasteurizada (25%), Gouda - queso de pasta prensada no cocida (leche pasteurizada, sal, fermentos lácticos, colorante E160b, conservador E252) (25%), queso de pasta prensada (leche pasteurizada, sal, fermento
3242272347552;Dolce Pizza - Regina;Sodebo;c;4;E250;Nitrito sódico;alto;Garniture 61% : sauce tomate 32% (purée de tomate, eau, farine de blé, sel), mozzarella 26%, chiffonnade de jambon cuit standard 21% (jambon de porc, eau, sel, dextrose, sirop de glucose, stabilisant: E451, arômes naturels, gélifiant: E407, lactose, bouillon de porc, conservateurs: E316, E250, ferme
3242274003050;Salade & Compagnie - Roma;Sodebo;c;4;E250;Nitrito sódico;alto;‘=&gt, Conchiglie et fusilli cuits 53% (eau, semoule de blé dur, œuf, sel, épices, piment doux), salade verte 14%, tomates cerises 8%, mozzarella 7% (lait, sel, presure, ferment), jambon Speck 6% (viande de porc, sel, épices, plantes aromatiques, antioxydant : E301, conservateur : E250), fèves de so
3254550038052;Mimolette Demie Vieille Au Lait Pasteurisé, 27%MG;Isigny Ste-Mere;e;4;E251;Nitrato sódico;alto;Lait de vache pasteurisé, sel, ferments lactiques, présure, colorant: rocou, conservateur: E251. Origine du Lait: France.
3263480000107;Terrine de canard aux magrets fumes;Conserverie Quatrefages;e;3;E250;Nitrito sódico;alto;gras de porc, viande de canard 19%, foie de porc, mélange de viande de canard fumé 6%, see, poivre, antioxydant E301, conservateur E250, ferments lactiques, foie de volaille, lait entier, eau, oeufs entier, vin blanc, quatre épices
3560070208883;Cocktail de fruits, au sirop léger;Carrefour;a;4;E127;Eritrosina;alto;Pêches en cubes, poires en cubes, segments d'ananas, raisins, bigarreaux dénoyautés colorés (colorant : E127), eau, sirop de glucose-fructose de blé et/ou de maïs, sucre, acidifiant : acide citrique.
4000145769004;6 Mini Burger Snack to go!;Dieten Hein;d;4;E250;Nitrito sódico;alto;180g (60%) jauhelihapihvi: porsaanliha 83%, sipuli, PANEROINTIJAUHO (VEHNÄJAUHO, suola, hiiva), EMMENTALJUUSTO 4%, salamipalat 3% (porsaanliha (100g:aan salamia on käytetty 110g lihaa), silava, jodioitu nitriittisuola (suola, kaliumjodaatti, säilöntäaine: E250), mausteet, dekstroosi, hapettumisenest
4002302114825;salchichas;;unknown;4;E250;Nitrito sódico;alto;GEL est , aken LITÄT Aus Lust am gemuss, 381482 RIESENBOCKWURST EN CONGELACIÓN INGREDIENTES: CARNE DE CERDO (70%), TOCINO, CARNE DE VACA (5%), AGUA POTABLE, SAL DE COCINA, ESPECIAS, DEXTROSA, SIROPE DE GLUCOSA, CONSOME, EXTRACTOS DE ESPECIA, ESTABILIZANTES: E262, E331, E450, ANTIOXIDANTE: E301, AROM
4005696550507;6 bunte gekochte eier;Columbus Frischei;a;4;E127;Eritrosina;alto;Hühnereier gekocht, Überzugsmittel: Schellack, Carnaubawachs, Farbstoffe: E127, E131, E160b(ii).
4009900483483;Orbit Eucaliptus;Wrigley's;not-applicable;4;E171;Dióxido de titanio;alto;isomalt, sorbitol, manitol, aspartam, acetylsulfam k, soy lecithin, gum arabic, glycerine, aromas, e171, e133, e160a
4009900484398;Orbit fresa;Wrigley's;not-applicable;4;E171;Dióxido de titanio;alto;sweeteners xiltol, sorbitol, mannitol, aspartame, acesulfame k, base gum, thickener arabic gum, glycerin moisturizing aromas, acidulant citric acid, soy lecithin emulgent, acidulant es mars mul acido mallico, coloring e171, carnalra wax coating agent, bha antioxidant,
4018342195014;;;unknown;4;E250;Nitrito sódico;alto;Carne de pollo, grasa de palma, carne de pavo, sal de nitrito yodado (sal, conservante: E250, yodato de potasio), dextrosa, azúcar, especias, caldo granulado, antioxidante E301, E300, colorante: E120, fermentos, humo de madera de haya. 100g de salami de aves contienen 78g de carne de pollo, 21g gras
4068263009303;;;unknown;;E320;BHA (Butilhidroxianisol);alto;SIN SWEA 3.09 ES QUESO FUNDIDO RALLADO. 35 % M.G. / E.S. INGREDIENTES: Queso qua, mantequilla, proteína de la leche, almidones modificados, sales de fundido (E33.1 E320) almidon, sal, suero de leche en polvo, regulador de acidez (E330). Origen de leche, UE. Envasado en atmósfera protectora. CONDICIO
4081500653909;Bockwurst salchichas alemanas;Auchan;e;4;E250;Nitrito sódico;alto;Carne de cerdo (89%), agua, sal yodada, especias (mostaza en polvo, cebolla, ajo, apio), extracto de especias (pimienta negra, pimentón, nuez moscada, jengibre, cebolla dextrosa de maíz, estabilizante (E450), antioxidante (E300), conservador (E250) aroma de humo.
42112921;Menta fuerte;Orbit;not-applicable;4;E171;Dióxido de titanio;alto;EDULCORANTES SORBITOL, ISOMALT, JARABE DE MALTITOL, ASPARTAMO, ACESULFAMO K, GOMA BASE, AGENTE DE RECUBRIMIENTO CARBONATO DE CALCIO, AROMAS, ESPESANTE GOMA ARÁBIGA, EMULGENTE: LECITINA DE _SOJA_, COLORANTE E171, AGENTE DE RECUBRIMIENTO: CERA DE CARNAUBA, ANTIOXIDANTE BHA, COLORANTES E133, E141, E160
42306733;Orbit Ice -  Menta polar;Orbit;not-applicable;4;E171;Dióxido de titanio;alto;EDULCORANTES XILITOL, SORBITOL, ASPARTAMO, MANITOL, ACESULFAMO K, GOMA BASE, ESPESANTE GOMA ARÁBIGA, HUMECTANTE GLICERINA, AROMAS, AGENTE DE CARGA FOSFATOS DE CALCIO, EMULGENTE LECITINA DE SOJA, COLORANTE E171, AGENTE DE RECUBRIMIENTO CERA DE CARNAUBA, ANTIOXIDANTE BHA, COLORANTE E133. CONTIENE UNA 
4313712065912;;;unknown;4;E250;Nitrito sódico;alto;Rindfleisch (95%), Rindergelatine, jodiertes Nitritpökelsalz (Speisesalz, Kalium - jodat, Konservierungsstoff: E250), Gewürze (enthält Sellerie), Würze, Dextrose, Glukosesirup, Zucker, Aromen, Antioxidationsmittel: E301, Stabilisator: E450. Kann Spuren von Senf enthalten! Deutsches Corned Beef
4712928341122;Fruit Mochi;;d;4;E129|E102|E110;Rojo Allura AC|Tartrazina|Amarillo Ocaso FCF;alto|alto|alto;Strawberry flavour: Maltose, sugar, glutinous rice powder, water, wax gourd, hydrogenated palm oil, glucose, arawberry juice LIN flavouring, gelatin, preservative: (E202 colour: E129), Orange flavour: Maltose, sugar, putnous rice powder, water, wax gourd, hydrogenated palm oil, glucose, orange juice
4714221131219;Japanese Style Taro Mochi;BAMBOO HOUSE;d;4;E129;Rojo Allura AC;alto;Maltose 47%, Taropaste 35% (Maltose, Bohnenpaste, Taro, Zucker, Palmöl), Klebreispulver 6%, Hirse 3%, Zucker 5%, Palmöl 1%, Farbstoff 1% (E133, E129), Verdickungsmittel (E1442) 1%, Süßungsmittel (E420) 0,8%, Gewürze 0,195%, Konservierungsmittel (E200) 0,005%.
4770609164408;Orejas De Cerdo Ahumadas En Caliente &quot,düzges&quot,;Krekenavos;unknown;;E250;Nitrito sódico;alto;orejas de cerdo, sal, especias, conservante E250
4895251001045;;;unknown;4;E171|E110|E102;Dióxido de titanio|Amarillo Ocaso FCF|Tartrazina;alto|alto|alto;樱木良品啵皮糖 芒果味 Caramelo blando con azúcares y edulcorante, Ingredientes: jarabe de maltosa, azúcar, trehalosa, sal, mermelada de mango (5%), jugo de manzana concentrado (4%), edulcorante (E420i), gelatina, espesantes en proporción variable (E407, E440, E406), acidulantes (E330, E331iii, E296), aromas, 
4897054831898;kiss delicias;;unknown;4;E102;Tartrazina;alto;sweeteners (E420, ,E951),acidulants (E296,E330),aromas of jasmine and green grape 0.1% ,colorings (E102,E133).
5000159500920;;M&M's;unknown;4;E171;Dióxido de titanio;alto;914g 1hagp og 03/11/19 10:53 milk chocolate (62%) with a rice centre (17%) in a sugar shell. ingredients. sugar, cocoa mass, rice flour skimmed milk powder, cocoa butter, palm kernel fat, lactose, pa at, miik fat, shea fat, salt, barley nalt 38.5g (%&quot,) extract, colours (e100, carmine, e133, e16
